i,t,y1,y2,y3
5002,50.009999999998620,-1.769530449927146,-3.000391962253666,14.969511317053938
5003,50.019999999998618,-1.896698265092131,-3.211279908716295,14.631767378359765
5004,50.029999999998616,-2.032866743827491,-3.443785536948629,14.311241667620736
5005,50.039999999998614,-2.179312972104302,-3.699514621175115,14.008860487344904
5006,50.049999999998612,-2.337352974065831,-3.980230965385836,13.725775834941823
5007,50.059999999998610,-2.508352894793648,-4.287852623971780,13.463403545543756
5008,50.069999999998608,-2.693738538766167,-4.624443322364841,13.223467932203782
5009,50.079999999998606,-2.895002884721388,-4.992197365138631,13.008053630668133
5010,50.089999999998604,-3.113711045590522,-5.393415781427003,12.819665279640164
5011,50.099999999998602,-3.351501948055325,-5.830470806165107,12.661295481611639
5012,50.109999999998600,-3.610085762590324,-6.305755017305040,12.536501139458757
5013,50.119999999998598,-3.891235813902548,-6.821610539420385,12.449487675061915
5014,50.129999999998596,-4.196773336868517,-7.380232696051916,12.405199707681691
5015,50.139999999998594,-4.528543011018635,-7.983541390694167,12.409415371368365
5016,50.149999999998592,-4.888376710736415,-8.633012414390480,12.468839420396037
5017,50.159999999998590,-5.278042364323944,-9.329459991069671,12.591187420418246
5018,50.169999999998588,-5.699174259130815,-10.072761472890710,12.785249450445940
5019,50.179999999998586,-6.153180630308481,-10.861515646111867,13.060916672549046
5020,50.189999999998584,-6.641124043063389,-11.692628281085014,13.429147785106888
5021,50.199999999998582,-7.163570104068499,-12.560823297006591,13.901844902660457
5022,50.209999999998580,-7.720400683688078,-13.458086418249184,14.491600349275974
5023,50.219999999998578,-8.310589462931684,-14.373061861351815,15.211268433148195
5024,50.229999999998576,-8.931940700302688,-15.290442726054925,16.073311704827638
5025,50.239999999998574,-9.580797164612850,-16.190423090919239,17.088873015817910
5026,50.249999999998572,-10.251730676686647,-17.048313562840409,18.266537855250764
5027,50.259999999998570,-10.937238879934490,-17.834458641091938,19.610782005082342
5028,50.269999999998568,-11.627484393845098,-18.514625871489475,21.120153385566340
5029,50.279999999998566,-12.310126096570210,-19.051050079497948,22.785317081955995
5030,50.289999999998564,-12.970304232042437,-19.404292587750245,24.587194927362532
5031,50.299999999998562,-13.590847026208865,-19.535995225868696,26.495539597685802
5032,50.309999999998560,-14.152760940002597,-19.412458470467818,28.468366297721733
5033,50.319999999998558,-14.636044022644446,-19.008757132983106,30.452677422672352
5034,50.329999999998556,-15.020818921491795,-18.312861714681414,32.386809665131175
5035,50.339999999998554,-15.288721301936199,-17.329030653991513,34.204482218549700
5036,50.349999999998552,-15.424410957747707,-16.079672091769638,35.840250577322493
5037,50.359999999998550,-15.417014612807925,-14.605023276568293,37.235659384520872
5038,50.369999999998548,-15.261282426034764,-12.960378605356045,38.345077745178180
5039,50.379999999998546,-14.958260707078111,-11.211134598395763,39.140129876794752
5040,50.389999999998544,-14.515354036707111,-9.426447612191344,39.611871438159191
5041,50.399999999998542,-13.945755988702381,-7.672632077276109,39.770356649567383
5042,50.409999999998540,-13.267340395614447,-6.007443913239694,39.641832968835409
5043,50.419999999998538,-12.501193189539659,-4.476101210131989,39.264289361829356
5044,50.429999999998536,-11.670006459115024,-3.109416191962309,38.682324932454186
5045,50.439999999998534,-10.796546682028167,-1.923924305365823,37.942261872672645
5046,50.449999999998532,-9.902359542897262,-.923542904110340,37.088172024283722
5047,50.459999999998530,-9.006804740498033,-.102137350374457,36.159145041062004
5048,50.469999999998528,-8.126446147974296,.553601769470824,35.187814558485030
5049,50.479999999998526,-7.274769690617420,1.061426959141164,34.199945637186389
5050,50.489999999998524,-6.462169063684276,1.441225610955594,33.214787332628269
5051,50.499999999998522,-5.696126775245858,1.713251064548276,32.245886949623795
5052,50.509999999998520,-4.981519974483525,1.896890813065168,31.302111262400011
5053,50.519999999998518,-4.320991135924245,2.009900837206088,30.388691015228151
5054,50.529999999998516,-3.715337784119518,2.068006428163798,29.508175018316017
5055,50.539999999998514,-3.163889525536413,2.084768250420158,28.661237005368438
5056,50.549999999998512,-2.664852754165265,2.071625455388260,27.847318516491310
5057,50.559999999998510,-2.215612774021205,2.038046326347180,27.065115780817653
5058,50.569999999998508,-1.812989753974474,1.991735680340486,26.312931369047501
5059,50.579999999998506,-1.453449299045695,1.938864338091333,25.588916042328556
5060,50.589999999998504,-1.133271014235811,1.884298502127362,24.891225942055879
5061,50.599999999998502,-.848679759257016,1.831815978697904,24.218117400944585
5062,50.609999999998500,-.595944767149152,1.784302411935776,23.567997765354466
5063,50.619999999998498,-.371451746863419,1.743924750783862,22.939446629429664
5064,50.629999999998496,-.171752736265540,1.712281663442797,22.331218278857111
5065,50.639999999998494,.006402030723007,1.690532050763568,21.742233128821791
5066,50.649999999998492,.166046535023064,1.679503559444862,21.171563554169900
5067,50.659999999998490,.309992505406117,1.679783316614492,20.618417700133470
5068,50.669999999998488,.440831434076387,1.691793171682904,20.082123541894688
5069,50.679999999998486,.560942900910520,1.715851649742297,19.562114534432720
5070,50.689999999998484,.672507441814220,1.752224661721954,19.057917570180638
5071,50.699999999998482,.777522549929214,1.801166821102577,18.569143563462006
5072,50.709999999998480,.877820698738077,1.862955009103926,18.095480744618751
5073,50.719999999998478,.975088528028670,1.937915623170916,17.636690624435484
5074,50.729999999998476,1.070886542247907,2.026446744165144,17.192606544489340
5075,50.739999999998474,1.166668841019611,2.129036268898801,16.763134735132148
5076,50.749999999998472,1.263802538224942,2.246276877055073,16.348257841652313
5077,50.759999999998470,1.363586633266067,2.378878533993969,15.948040938524791
